InvoiceNo,OrderValue,OrderSize
540541,320.21999999999997,181
540542,78.2,50
540543,380.68,171
540544,73.5,42
540545,401.49,260
540546,686.48,411
540547,258.0,85
540548,179.1,34
540550,1715.85,643
540551,4731.639999999999,1797
540552,376.7,196
540553,344.94,243
540554,240.45000000000002,81
540556,379.84000000000003,100
540557,81.6,96
540561,326.78,260
540562,337.39,392
540563,175.2,16
540565,102.0,40
540566,185.97,83
540567,332.41,249
540568,646.54,246
540595,326.82,645
540604,311.71,386
540630,217.75,19
540635,456.97,195
540636,212.0,200
540639,566.84,468
540640,167.6,37
540641,279.3,94
540642,1238.06,635
540644,827.1800000000001,418
540645,402.66,522
540646,2312.89,986
540647,1248.32,515
540648,969.87,793
540649,404.12,317
540653,250.0,2
540662,500.48,136
540664,263.0,87
540671,322.53000000000003,163
540672,780.42,518
540673,0.0,144
540674,0.0,26
540675,0.0,40
540680,434.03999999999996,365
540681,1787.82,593
540682,64.14,150
540685,10.05,5
540687,237.19,177
540688,234.0,173
540689,12797.52,4510
540690,241.26,198
540691,1508.6599999999999,686
540692,352.51,235
540697,369.0,188
540698,4314.0199999999995,858
540700,462.5,238
540701,602.44,348
540702,140.49,81
540703,511.46000000000004,1098
540704,302.57,71
540732,144.12,328
540750,153.9,90
540753,69.7,12
540768,670.8000000000001,624
540769,144.26,87
540770,145.75,49
540777,110.95,21
540779,252.42000000000002,144
540782,184.2,80
540785,3417.1200000000003,1008
540789,871.1999999999999,578
540794,153.6,128
540795,355.8,92
540797,8.5,1
540798,727.36,706
540799,15.299999999999999,6
540800,302.36,364
540801,1147.1799999999998,475
540802,418.48,208
540803,426.9,200
540809,374.75,225
540813,415.55,288
540815,15160.900000000001,7044
540816,364.91,258
540817,347.95,97
540818,7837.5,1970
540819,23.85,3
540821,3195.7799999999997,1067
540822,24.95,5
540823,288.5,182
540824,252.54,122
540825,62.13,19
540826,447.28,362
540827,344.14,159
540828,145.34,24
540829,113.63999999999999,156
540832,5032.29,1264
540833,0.65,1
540834,1578.31,624
540835,154.9,115
540836,12.75,15
540838,425.1,308
540839,255.38,130
540840,108.67,45
540842,60.0,48
540844,71.5,38
540848,3808.77,1330
540849,492.65000000000003,197
540851,102.95,43
540855,445.6,194
540856,812.25,373
540857,314.0,140
540858,92.4,44
540859,438.67,181
540862,202.34999999999997,143
540866,575.18,555
540900,250.65,97
540906,366.12,332
540907,1358.29,766
540908,721.9200000000001,64
540915,311.67,131
540939,2.46,2
540940,214.18,33
540943,220.33,107
540945,0.85,1
540946,547.5,144
540947,747.06,490
540951,676.5999999999999,132
540953,220.85,155
540954,174.15,47
540955,137.95,82
540957,342.46,193
540968,770.75,316
540970,197.65,6
540971,651.16,590
540972,392.7,134
540973,14.899999999999999,2
540974,112.08,64
540975,289.7,91
540976,919.98,505
540977,3716.17,1391
540979,554.75,273
540980,255.25,121
540981,287.46000000000004,168
540983,1289.5,290
540984,148.35,39
540985,105.54,24
540986,408.29,113
540990,258.41,143
540991,307.05,73
540992,436.23,303
542776,312.9,306
542777,797.77,463
542778,234.47,73
542779,409.5,250
542780,698.6,270
542782,314.15000000000003,61
542785,1025.34,706
542786,362.40000000000003,256
542788,450.06,342
542789,4446.88,2945
542790,280.05,135
542791,439.3,164
542794,669.46,141
542795,336.91,105
542796,178.22,166
542797,278.21999999999997,319
542800,3.67,2
542806,846.69,260
542812,325.75,293
542835,184.5,202
542836,239.29999999999998,172
542849,76.45,20
542858,123.42999999999999,175
542859,70.02,114
542862,161.2,77
542863,316.26000000000005,162
542864,969.74,690
542865,117.85,37
542867,134.48,78
542868,252.66,98
542869,259.51,143
542870,211.94,224
542871,21.0,50
542872,354.24000000000007,240
542881,150.2,58
542886,320.51,199
542887,364.6,197
542888,379.1,132
542889,241.2,136
542890,1003.23,778
542891,2489.11,1184
542892,155.51999999999998,432
542893,485.73,197
542894,214.45,113
542895,289.24,136
542896,270.0,40
542897,303.0,60
542898,409.7,210
542899,105.85,35
542900,134.1,16
542901,88.3,12
542902,231.0,180
542903,40.8,48
542904,510.84999999999997,200
542905,288.98,193
542906,1757.1,532
542907,313.85,75
542908,271.55,70
542909,734.4000000000001,96
542911,509.5,250
542914,272.4,142
542915,35.8,4
542919,762.0,370
542920,765.0,450
542921,277.5,150
542922,490.89,161
542923,394.40000000000003,150
542925,113.64,88
542926,75.60000000000001,36
542927,303.56,180
542928,505.98,426
542929,289.3,105
542930,530.1,266
542931,184.95,125
542932,1341.96,712
542933,1063.0,196
542934,991.98,395
542936,161.56,144
542944,162.1,142
542989,154.41,71
542990,141.3,44
542992,30.0,24
542993,303.84000000000003,136
542994,675.0,198
542995,158.57999999999998,38
542996,227.71,95
