InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C536758,21314,SMALL GLASS HEART TRINKET POT,-1,2010-02-12 14:25:00,2.1,13767.0,United Kingdom
C536760,22175,PINK OWL SOFT TOY,-1,2010-02-12 14:29:00,2.95,17547.0,United Kingdom
C536760,22273,FELTCRAFT DOLL MOLLY,-3,2010-02-12 14:29:00,2.95,17547.0,United Kingdom
C536807,22501,PICNIC BASKET WICKER LARGE,-2,2010-02-12 16:45:00,9.95,15834.0,United Kingdom
C536807,22778,GLASS CLOCHE SMALL,-1,2010-02-12 16:45:00,3.95,15834.0,United Kingdom
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2010-02-12 16:58:00,0.85,16546.0,United Kingdom
C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,2010-02-12 16:58:00,0.72,16546.0,United Kingdom
C536812,22593,CHRISTMAS GINGHAM STAR,-144,2010-02-12 16:58:00,0.72,16546.0,United Kingdom
C536812,22595,CHRISTMAS GINGHAM HEART,-144,2010-02-12 16:58:00,0.72,16546.0,United Kingdom
C536812,22588,CARD HOLDER GINGHAM HEART,-192,2010-02-12 16:58:00,2.1,16546.0,United Kingdom
C536812,22130,PARTY CONE CHRISTMAS DECORATION,-144,2010-02-12 16:58:00,0.72,16546.0,United Kingdom
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT,-2,2010-02-12 17:03:00,7.95,13958.0,United Kingdom
C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,2010-02-12 17:03:00,2.95,13958.0,United Kingdom
C536814,85066,CREAM SWEETHEART MINI CHEST,-2,2010-02-12 17:03:00,12.75,13958.0,United Kingdom
C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,2010-02-12 17:03:00,2.55,13958.0,United Kingdom
C536814,21258,VICTORIAN SEWING BOX LARGE,-1,2010-02-12 17:03:00,12.75,13958.0,United Kingdom
C536815,85175,CACTI T-LIGHT CANDLES,-1,2010-02-12 17:05:00,0.42,14443.0,United Kingdom
C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,2010-02-12 17:05:00,1.25,14443.0,United Kingdom
C536816,21129,SILVER FISHING GNOME,-2,2010-02-12 17:06:00,6.95,14443.0,United Kingdom
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2010-02-12 17:08:00,4.25,14156.0,EIRE
C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-02-12 17:08:00,3.25,14156.0,EIRE
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,2010-02-12 17:09:00,1.25,16995.0,United Kingdom
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,2010-02-12 17:14:00,1.95,18168.0,United Kingdom
C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,2010-02-12 17:14:00,1.95,18168.0,United Kingdom
C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,2010-02-12 17:14:00,2.1,18168.0,United Kingdom
C536820,21843,RED RETROSPOT CAKE STAND,-1,2010-02-12 17:14:00,10.95,18168.0,United Kingdom
C536822,22847,BREAD BIN DINER STYLE IVORY,-2,2010-02-12 17:19:00,16.95,14625.0,United Kingdom
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,2010-02-12 17:19:00,3.75,14625.0,United Kingdom
C536825,22617,BAKING SET SPACEBOY DESIGN,-1,2010-02-12 17:27:00,4.95,15384.0,United Kingdom
C536825,22197,SMALL POPCORN HOLDER,-2,2010-02-12 17:27:00,0.85,15384.0,United Kingdom
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,2010-02-12 17:30:00,4.65,17924.0,United Kingdom
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,2010-02-12 17:30:00,4.65,17924.0,United Kingdom
C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT,-3,2010-02-12 17:31:00,6.95,13408.0,United Kingdom
C536828,22832,BROCANTE SHELF WITH HOOKS,-1,2010-02-12 17:35:00,10.75,14264.0,United Kingdom
C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,2010-02-12 17:35:00,1.25,14264.0,United Kingdom
C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-02-12 17:36:00,3.25,13295.0,United Kingdom
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS,-48,2010-03-12 09:47:00,7.65,14213.0,United Kingdom
C536850,22689,DOORMAT MERRY CHRISTMAS RED,-50,2010-03-12 09:47:00,6.75,14213.0,United Kingdom
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2010-03-12 09:47:00,2.55,14213.0,United Kingdom
C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,2010-03-12 09:47:00,4.95,14213.0,United Kingdom
C536850,22186,RED STAR CARD HOLDER,-48,2010-03-12 09:47:00,2.55,14213.0,United Kingdom
C536853,84678,CLASSICAL ROSE SMALL VASE,-1,2010-03-12 10:07:00,2.55,14679.0,United Kingdom
C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,2010-03-12 10:09:00,2.95,15240.0,United Kingdom
C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,2010-03-12 10:09:00,1.25,15240.0,United Kingdom
C536854,21871,SAVE THE PLANET MUG,-1,2010-03-12 10:09:00,1.25,15240.0,United Kingdom
C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT,-4,2010-03-12 10:11:00,7.95,18225.0,United Kingdom
C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,2010-03-12 14:19:00,9.95,17954.0,United Kingdom
C536979,84685,BEACH HUT KEY CABINET,-1,2010-03-12 14:23:00,3.75,17841.0,United Kingdom
C536979,22630,DOLLY GIRL LUNCH BOX,-1,2010-03-12 14:23:00,1.95,17841.0,United Kingdom
C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,2010-03-12 16:21:00,2.1,13941.0,United Kingdom
537032,21275,?,-30,2010-03-12 16:50:00,0.0,,United Kingdom
C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,2010-05-12 10:25:00,4.95,15708.0,United Kingdom
C537039,20936,FORKED CACTUS CANDLE,-1,2010-05-12 10:25:00,2.95,15708.0,United Kingdom
C537039,85175,CACTI T-LIGHT CANDLES,-1,2010-05-12 10:25:00,0.42,15708.0,United Kingdom
C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,2010-05-12 10:48:00,1.95,15351.0,United Kingdom
C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,2010-05-12 10:48:00,1.69,15351.0,United Kingdom
C537132,22788,BROCANTE COAT RACK,-2,2010-05-12 12:29:00,8.5,15221.0,United Kingdom
C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,2010-05-12 12:29:00,8.5,15221.0,United Kingdom
C537132,71279,PINK GLASS CANDLEHOLDER,-2,2010-05-12 12:29:00,2.95,15221.0,United Kingdom
C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,2010-05-12 12:29:00,21.95,15221.0,United Kingdom
C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,2010-05-12 12:29:00,21.95,15221.0,United Kingdom
C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,2010-05-12 12:29:00,12.75,15221.0,United Kingdom
C537143,20685,DOORMAT RED RETROSPOT,-1,2010-05-12 12:58:00,7.95,12748.0,United Kingdom
C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,2010-05-12 13:09:00,1.25,15880.0,United Kingdom
C537164,D,Discount,-1,2010-05-12 13:21:00,29.29,14527.0,United Kingdom
C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2010-05-12 14:44:00,9.95,14606.0,United Kingdom
C537203,21424,WOODLAND STORAGE BOX LARGE,-1,2010-05-12 14:44:00,2.95,14606.0,United Kingdom
C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,2010-06-12 09:31:00,8.5,12586.0,Italy
C537234,22653,BUTTON BOX,-20,2010-06-12 09:40:00,1.95,16161.0,United Kingdom
C537251,22429,ENAMEL MEASURING JUG CREAM,-2,2010-06-12 10:45:00,4.25,,United Kingdom
C537251,22620,4 TRADITIONAL SPINNING TOPS,-8,2010-06-12 10:45:00,1.25,,United Kingdom
C537251,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-2,2010-06-12 10:45:00,2.95,,United Kingdom
C537251,22564,ALPHABET STENCIL CRAFT,-5,2010-06-12 10:45:00,1.25,,United Kingdom
C537251,21891,TRADITIONAL WOODEN SKIPPING ROPE,-3,2010-06-12 10:45:00,1.25,,United Kingdom
C537251,22747,POPPY'S PLAYHOUSE BATHROOM,-6,2010-06-12 10:45:00,2.1,,United Kingdom
C537251,22454,MEASURING TAPE BABUSHKA RED,-8,2010-06-12 10:45:00,2.95,,United Kingdom
C537251,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-4,2010-06-12 10:45:00,2.95,,United Kingdom
C537251,21915,RED  HARMONICA IN BOX,-4,2010-06-12 10:45:00,1.25,,United Kingdom
C537251,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9,2010-06-12 10:45:00,2.55,,United Kingdom
C537251,22748,POPPY'S PLAYHOUSE KITCHEN,-4,2010-06-12 10:45:00,2.1,,United Kingdom
C537251,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-6,2010-06-12 10:45:00,4.95,,United Kingdom
C537251,22418,10 COLOUR SPACEBOY PEN,-7,2010-06-12 10:45:00,0.85,,United Kingdom
C537251,22911,PAPER CHAIN KIT LONDON,-2,2010-06-12 10:45:00,2.95,,United Kingdom
C537251,22940,FELTCRAFT CHRISTMAS FAIRY,-5,2010-06-12 10:45:00,4.25,,United Kingdom
C537251,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-8,2010-06-12 10:45:00,2.1,,United Kingdom
C537251,22328,ROUND SNACK BOXES SET OF 4 FRUITS,-2,2010-06-12 10:45:00,2.95,,United Kingdom
C537251,22536,MAGIC DRAWING SLATE PURDEY,-11,2010-06-12 10:45:00,0.42,,United Kingdom
C537251,21826,EIGHT PIECE DINOSAUR SET,-4,2010-06-12 10:45:00,1.25,,United Kingdom
C537251,22466,FAIRY TALE COTTAGE NIGHTLIGHT,-3,2010-06-12 10:45:00,1.95,,United Kingdom
C537314,21349,IVY HEART WREATH,-4,2010-06-12 11:42:00,6.75,13497.0,United Kingdom
C537320,35400,WOODEN BOX ADVENT CALENDAR,-1,2010-06-12 11:47:00,8.95,14867.0,United Kingdom
C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,2010-06-12 12:00:00,8.5,12474.0,Germany
C537373,22423,REGENCY CAKESTAND 3 TIER,-1,2010-06-12 12:55:00,12.75,14487.0,United Kingdom
C537379,22865,HAND WARMER OWL DESIGN,-10,2010-06-12 13:12:00,2.1,15882.0,United Kingdom
C537383,21658,GLASS  BEURRE DISH,-1,2010-06-12 13:17:00,3.95,16550.0,United Kingdom
C537383,22197,SMALL POPCORN HOLDER,-1,2010-06-12 13:17:00,0.85,16550.0,United Kingdom
C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2010-06-12 13:17:00,4.25,16550.0,United Kingdom
C537398,22430,ENAMEL WATERING CAN CREAM,-1,2010-06-12 14:22:00,4.95,15426.0,United Kingdom
C537402,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-06-12 14:43:00,5.95,15502.0,United Kingdom
C537402,22927,GREEN GIANT GARDEN THERMOMETER,-4,2010-06-12 14:43:00,5.95,15502.0,United Kingdom
C537402,22849,BREAD BIN DINER STYLE MINT,-4,2010-06-12 14:43:00,14.95,15502.0,United Kingdom
C537402,22847,BREAD BIN DINER STYLE IVORY,-4,2010-06-12 14:43:00,14.95,15502.0,United Kingdom
C537402,47580,TEA TIME DES TEA COSY,-6,2010-06-12 14:43:00,2.55,15502.0,United Kingdom
C537402,22196,SMALL HEART MEASURING SPOONS,-12,2010-06-12 14:43:00,0.85,15502.0,United Kingdom
C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-06-12 14:53:00,5.95,15502.0,United Kingdom
C537406,22927,GREEN GIANT GARDEN THERMOMETER,-4,2010-06-12 14:53:00,5.95,15502.0,United Kingdom
C537406,22847,BREAD BIN DINER STYLE IVORY,-4,2010-06-12 14:53:00,14.95,15502.0,United Kingdom
C537406,22849,BREAD BIN DINER STYLE MINT,-4,2010-06-12 14:53:00,14.95,15502.0,United Kingdom
C537408,47580,TEA TIME DES TEA COSY,-6,2010-06-12 14:55:00,2.55,15502.0,United Kingdom
C537408,22196,SMALL HEART MEASURING SPOONS,-12,2010-06-12 14:55:00,0.85,15502.0,United Kingdom
C537413,22834,HAND WARMER BABUSHKA DESIGN,-72,2010-06-12 15:07:00,2.1,14409.0,United Kingdom
C537414,POST,POSTAGE,-1,2010-06-12 15:09:00,4.41,16861.0,United Kingdom
C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS,-6,2010-06-12 15:09:00,2.95,16861.0,United Kingdom
C537416,22840,ROUND CAKE TIN VINTAGE RED,-1,2010-06-12 15:10:00,7.95,16138.0,United Kingdom
C537417,22960,JAM MAKING SET WITH JARS,-1,2010-06-12 15:12:00,4.25,13481.0,United Kingdom
537425,84968F,check,-20,2010-06-12 15:35:00,0.0,,United Kingdom
537426,84968E,check,-35,2010-06-12 15:36:00,0.0,,United Kingdom
537432,35833G,damages,-43,2010-06-12 16:10:00,0.0,,United Kingdom
C537431,21755,LOVE BUILDING BLOCK WORD,-1,2010-06-12 16:10:00,5.95,16782.0,United Kingdom
C537444,22580,ADVENT CALENDAR GINGHAM SACK,-8,2010-07-12 08:42:00,5.95,14850.0,United Kingdom
C537445,22418,10 COLOUR SPACEBOY PEN,-11,2010-07-12 08:57:00,0.85,15021.0,United Kingdom
C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT,-1,2010-07-12 11:47:00,7.95,13319.0,United Kingdom
C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,2010-07-12 11:47:00,6.35,13319.0,United Kingdom
C537530,22726,ALARM CLOCK BAKELIKE GREEN,-2,2010-07-12 11:47:00,3.75,13319.0,United Kingdom
C537572,BANK CHARGES,Bank Charges,-1,2010-07-12 12:00:00,95.38,,United Kingdom
C537581,S,SAMPLES,-1,2010-07-12 12:03:00,12.95,,United Kingdom
C537581,S,SAMPLES,-1,2010-07-12 12:03:00,52.0,,United Kingdom
C537596,22968,ROSE COTTAGE KEEPSAKE BOX,-2,2010-07-12 12:31:00,9.95,17954.0,United Kingdom
C537597,D,Discount,-1,2010-07-12 12:34:00,281.0,15498.0,United Kingdom
C537600,AMAZONFEE,AMAZON FEE,-1,2010-07-12 12:41:00,1.0,,United Kingdom
C537602,85099B,JUMBO BAG RED RETROSPOT,-1,2010-07-12 12:45:00,1.65,17511.0,United Kingdom
C537602,21622,VINTAGE UNION JACK CUSHION COVER,-1,2010-07-12 12:45:00,4.95,17511.0,United Kingdom
C537602,22065,CHRISTMAS PUDDING TRINKET POT,-1,2010-07-12 12:45:00,1.25,17511.0,United Kingdom
C537602,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,2010-07-12 12:45:00,8.5,17511.0,United Kingdom
C537602,22654,DELUXE SEWING KIT,-1,2010-07-12 12:45:00,4.95,17511.0,United Kingdom
C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-07-12 12:45:00,2.55,17511.0,United Kingdom
C537602,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,2010-07-12 12:45:00,2.95,17511.0,United Kingdom
C537602,22197,SMALL POPCORN HOLDER,-1,2010-07-12 12:45:00,0.72,17511.0,United Kingdom
C537602,22659,LUNCH BOX I LOVE LONDON,-4,2010-07-12 12:45:00,1.65,17511.0,United Kingdom
C537602,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,2010-07-12 12:45:00,7.65,17511.0,United Kingdom
C537602,21843,RED RETROSPOT CAKE STAND,-1,2010-07-12 12:45:00,9.95,17511.0,United Kingdom
C537602,22423,REGENCY CAKESTAND 3 TIER,-2,2010-07-12 12:45:00,10.95,17511.0,United Kingdom
C537602,84050,PINK HEART SHAPE EGG FRYING PAN,-1,2010-07-12 12:45:00,1.25,17511.0,United Kingdom
C537602,22198,LARGE POPCORN HOLDER,-1,2010-07-12 12:45:00,1.45,17511.0,United Kingdom
C537610,M,Manual,-1,2010-07-12 13:23:00,631.31,,United Kingdom
C537611,22865,HAND WARMER OWL DESIGN,-36,2010-07-12 13:25:00,2.1,17675.0,United Kingdom
C537613,M,Manual,-1,2010-07-12 13:28:00,313.78,,United Kingdom
C537630,AMAZONFEE,AMAZON FEE,-1,2010-07-12 15:04:00,13541.33,,United Kingdom
C537644,AMAZONFEE,AMAZON FEE,-1,2010-07-12 15:34:00,13474.79,,United Kingdom
C537647,AMAZONFEE,AMAZON FEE,-1,2010-07-12 15:41:00,5519.25,,United Kingdom
C537651,AMAZONFEE,AMAZON FEE,-1,2010-07-12 15:49:00,13541.33,,United Kingdom
C537652,AMAZONFEE,AMAZON FEE,-1,2010-07-12 15:51:00,6706.71,,United Kingdom
C537656,21258,VICTORIAN SEWING BOX LARGE,-12,2010-07-12 16:21:00,10.95,15100.0,United Kingdom
C537677,21166,COOK WITH WINE METAL SIGN,-1,2010-08-12 09:55:00,1.95,14796.0,United Kingdom
C537684,22301,COFFEE MUG CAT + BIRD DESIGN,-1,2010-08-12 10:18:00,2.55,14901.0,United Kingdom
C537684,22730,ALARM CLOCK BAKELIKE IVORY,-1,2010-08-12 10:18:00,3.75,14901.0,United Kingdom
C537746,22156,HEART DECORATION WITH PEARLS,-1,2010-08-12 11:03:00,0.85,15021.0,United Kingdom
C537746,21558,SKULL LUNCH BOX WITH CUTLERY,-1,2010-08-12 11:03:00,2.55,15021.0,United Kingdom
C537746,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-08-12 11:03:00,3.25,15021.0,United Kingdom
C537756,21914,BLUE HARMONICA IN BOX,-24,2010-08-12 11:33:00,1.25,14952.0,United Kingdom
C537756,84949,SILVER HANGING T-LIGHT HOLDER,-8,2010-08-12 11:33:00,1.65,14952.0,United Kingdom
C537756,21275,ZINC TOP  2 DOOR WOODEN SHELF,-4,2010-08-12 11:33:00,14.95,14952.0,United Kingdom
C537763,85068,CREAM SWEETHEART SHELF + HOOKS,-1,2010-08-12 12:03:00,7.95,16713.0,United Kingdom
C537788,90062,CARNIVAL BRACELET,-1,2010-08-12 12:49:00,12.75,15916.0,United Kingdom
C537788,16202E,BLACK PHOTO ALBUM,-1,2010-08-12 12:49:00,5.55,15916.0,United Kingdom
C537797,22501,PICNIC BASKET WICKER LARGE,-1,2010-08-12 13:07:00,8.5,13113.0,United Kingdom
C537797,22423,REGENCY CAKESTAND 3 TIER,-2,2010-08-12 13:07:00,10.95,13113.0,United Kingdom
C537797,22469,HEART OF WICKER SMALL,-1,2010-08-12 13:07:00,1.45,13113.0,United Kingdom
C537798,22357,KINGS CHOICE BISCUIT TIN,-1,2010-08-12 13:07:00,4.25,16553.0,United Kingdom
C537805,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-08-12 13:18:00,4.65,15311.0,United Kingdom
C537805,40001,WHITE BAMBOO RIBS LAMPSHADE,-2,2010-08-12 13:18:00,0.64,15311.0,United Kingdom
C537805,85047,WHITE BEADED GARLAND STRING 20LIGHT,-1,2010-08-12 13:18:00,5.55,15311.0,United Kingdom
C537805,22719,GUMBALL MONOCHROME COAT RACK,-3,2010-08-12 13:18:00,1.06,15311.0,United Kingdom
C537805,20798,CLEAR MILKSHAKE GLASS,-4,2010-08-12 13:18:00,1.65,15311.0,United Kingdom
C537805,22198,LARGE POPCORN HOLDER,-1,2010-08-12 13:18:00,1.45,15311.0,United Kingdom
C537805,22197,SMALL POPCORN HOLDER,-1,2010-08-12 13:18:00,0.72,15311.0,United Kingdom
C537805,20829,GLITTER HANGING BUTTERFLY STRING,-1,2010-08-12 13:18:00,2.1,15311.0,United Kingdom
C537805,22571,ROCKING HORSE RED CHRISTMAS,-1,2010-08-12 13:18:00,0.85,15311.0,United Kingdom
C537807,84949,SILVER HANGING T-LIGHT HOLDER,-5,2010-08-12 13:23:00,1.65,13495.0,United Kingdom
C537807,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-3,2010-08-12 13:23:00,4.95,13495.0,United Kingdom
C537807,21143,ANTIQUE GLASS HEART DECORATION,-1,2010-08-12 13:23:00,1.95,13495.0,United Kingdom
C537807,21812,GARLAND WITH HEARTS AND BELLS,-6,2010-08-12 13:23:00,4.95,13495.0,United Kingdom
C537812,21843,RED RETROSPOT CAKE STAND,-10,2010-08-12 13:33:00,9.95,14299.0,United Kingdom
C537812,22423,REGENCY CAKESTAND 3 TIER,-10,2010-08-12 13:33:00,10.95,14299.0,United Kingdom
C537814,20703,BLUE PADDED SOFT MOBILE,-3,2010-08-12 13:43:00,4.25,12712.0,Germany
C537820,22627,MINT KITCHEN SCALES,-1,2010-08-12 14:10:00,8.5,16016.0,United Kingdom
C537821,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-3,2010-08-12 14:20:00,6.95,18193.0,United Kingdom
C537824,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-1,2010-08-12 14:27:00,9.95,12870.0,United Kingdom
C537824,22784,LANTERN CREAM GAZEBO,-1,2010-08-12 14:27:00,4.95,12870.0,United Kingdom
C537832,22073,RED RETROSPOT STORAGE JAR,-2,2010-08-12 14:52:00,3.75,16858.0,United Kingdom
C537832,21531,RED RETROSPOT SUGAR JAM BOWL,-4,2010-08-12 14:52:00,2.1,16858.0,United Kingdom
C537832,21527,RED RETROSPOT TRADITIONAL TEAPOT,-2,2010-08-12 14:52:00,6.95,16858.0,United Kingdom
C537834,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2010-08-12 14:54:00,2.95,13267.0,United Kingdom
C537834,21314,SMALL GLASS HEART TRINKET POT,-1,2010-08-12 14:54:00,2.1,13267.0,United Kingdom
C537834,22798,ANTIQUE GLASS DRESSING TABLE POT,-3,2010-08-12 14:54:00,2.95,13267.0,United Kingdom
C537835,22138,BAKING SET 9 PIECE RETROSPOT,-3,2010-08-12 14:57:00,4.95,14618.0,United Kingdom
C537838,22299,PIG KEYRING WITH LIGHT & SOUND,-4,2010-08-12 15:01:00,1.25,13115.0,United Kingdom
C537853,79000,MOROCCAN TEA GLASS,-1,2010-08-12 15:57:00,0.85,13370.0,United Kingdom
C537853,22940,FELTCRAFT CHRISTMAS FAIRY,-1,2010-08-12 15:57:00,4.25,13370.0,United Kingdom
C537853,22169,FAMILY ALBUM WHITE PICTURE FRAME,-2,2010-08-12 15:57:00,8.5,13370.0,United Kingdom
C537853,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2010-08-12 15:57:00,2.95,13370.0,United Kingdom
C537853,22960,JAM MAKING SET WITH JARS,-2,2010-08-12 15:57:00,4.25,13370.0,United Kingdom
C537856,37370,RETRO COFFEE MUGS ASSORTED,-2,2010-08-12 15:59:00,1.25,14388.0,United Kingdom
C537856,21843,RED RETROSPOT CAKE STAND,-1,2010-08-12 15:59:00,10.95,14388.0,United Kingdom
C537857,D,Discount,-1,2010-08-12 16:00:00,267.12,17340.0,United Kingdom
C537860,84406B,CREAM CUPID HEARTS COAT HANGER,-8,2010-08-12 16:15:00,3.25,16252.0,United Kingdom
C537860,22295,HEART FILIGREE DOVE LARGE,-12,2010-08-12 16:15:00,1.65,16252.0,United Kingdom
C537860,22193,RED DINER WALL CLOCK,-2,2010-08-12 16:15:00,8.5,16252.0,United Kingdom
